Display Name;Salutation;Last Name;First Name;Display Bio;Begin Date;End Date
Agnete Madsen;k;Madsen;Agnete;1923 - 1997;1923;1997
Alfred Madsen;m;Madsen;Alfred;1923 - 1986;1923;1986
Rasmus Nellemann;m;Nellemann;Rasmus;1923 - 2004;1923;2004
Elsa Nielsen;k;Nielsen;Elsa;1923 - 2011;1923;2011
Nikolaj Nielsen;m;Nielsen;Nikolaj;1923;1923;0
Erik Reiff;m;Reiff;Erik;1923 - 2006;1923;2006
Jørgen Rømer;m;Rømer;Jørgen;1923 - 2007;1923;2007
Allan Schmidt;m;Schmidt;Allan;1923 - 1989;1923;1989
Bent Sørensen;m;Sørensen;Bent;1923 - 2008;1923;2008
Kristian Solmer Vedel;m;Vedel;Kristian Solmer;1923 - 2003;1923;2003
Niels Andersen;m;Andersen;Niels;1924;1924;0
Agnete Bjerre;k;Bjerre;Agnete;1924;1924;0
Johannes Carstensen;m;Carstensen;Johannes;1924 - 2010;1924;2010
Kurt Kaj Jensen;m;Jensen;Kurt Kaj;1924;1924;0
Lisette Kampmann;k;Kampmann;Lisette;1924;1924;0
Jørgen Høj Madsen;m;Madsen;Jørgen Høj;1924;1924;0
